Date,Interval,Effective GWAP,Rolling Average
1/26/2015,1,3481.525855,4634.133391
1/26/2015,2,3083.66686,4652.488551
1/26/2015,3,3203.528853,4671.557175
1/26/2015,4,3199.671557,4690.602839
1/26/2015,5,3634.400301,4712.236174
1/26/2015,6,4004.066845,4736.069905
1/26/2015,7,1691.749721,4739.385555
1/26/2015,8,4058.701979,4756.69773
1/26/2015,9,12363.45863,4819.119939
1/26/2015,10,14749.24466,4883.092382
1/26/2015,11,13366.68551,4938.696963
1/26/2015,12,7043.195351,4965.476056
1/26/2015,13,2676.756941,4957.550923
1/26/2015,14,6938.674306,4974.858287
1/26/2015,15,6958.274893,4992.33017
1/26/2015,16,7160.025771,5010.974028
1/26/2015,17,1923.015136,4998.544427
1/26/2015,18,7079.788042,5010.116796
1/26/2015,19,6998.828548,5027.56675
1/26/2015,20,6618.030915,5037.677954
1/26/2015,21,4039.066439,5031.294249
1/26/2015,22,4087.683881,5031.313445
1/26/2015,23,4048.929745,5042.486371
1/26/2015,24,1854.793371,5043.517924
1/27/2015,1,3458.499523,5053.076371
1/27/2015,2,1891.944982,5053.328665
1/27/2015,3,3374.258196,5062.147217
1/27/2015,4,3215.015464,5070.081216
1/27/2015,5,3617.22849,5080.308068
1/27/2015,6,4054.047178,5084.279084
1/27/2015,7,1858.605247,5085.461436
1/27/2015,8,1734.061235,5085.868887
1/27/2015,9,6327.623756,5099.615253
1/27/2015,10,6791.49172,5121.845034
1/27/2015,11,6992.485483,5125.777772
1/27/2015,12,6472.489553,5128.461164
1/27/2015,13,6520.224714,5155.826213
1/27/2015,14,7173.427643,5158.314116
1/27/2015,15,6996.439175,5158.262957
1/27/2015,16,12039.45477,5188.127491
1/27/2015,17,6774.17849,5188.907056
1/27/2015,18,7244.039908,5182.859402
1/27/2015,19,6922.051879,5182.027161
1/27/2015,20,6513.492449,5181.156147
1/27/2015,21,6482.898082,5170.598325
1/27/2015,22,4017.024499,5154.772162
1/27/2015,23,4060.715395,5154.531695
1/27/2015,24,2365.134279,5158.600991
1/28/2015,1,3354.973444,5154.794413
1/28/2015,2,3050.976397,5151.427836
1/28/2015,3,3458.177397,5148.740633
1/28/2015,4,3459.673248,5145.666769
1/28/2015,5,4080.46598,5145.526079
1/28/2015,6,4031.708982,5144.848761
1/28/2015,7,1689.027506,5130.378801
1/28/2015,8,1739.947556,5116.248408
1/28/2015,9,6672.035313,5098.097032
1/28/2015,10,7024.466071,5085.845064
1/28/2015,11,15819.47302,5086.602545
1/28/2015,12,6910.429258,5080.235907
1/28/2015,13,6773.132241,5062.216944
1/28/2015,14,16692.14032,5018.966144
1/28/2015,15,16882.49145,5047.550923
1/28/2015,16,17625.52592,5002.91967
1/28/2015,17,6888.940669,4982.595912
1/28/2015,18,7971.610286,4937.337963
1/28/2015,19,12175.89894,4845.955918
1/28/2015,20,10550.53954,4838.098901
1/28/2015,21,9837.523435,4845.592584
1/28/2015,22,9820.657597,4845.924599
1/28/2015,23,4095.327139,4845.74387
1/28/2015,24,4025.899099,4845.702025
1/29/2015,1,4017.598827,4845.577844
1/29/2015,2,3460.18483,4845.299549
1/29/2015,3,3457.465457,4842.872826
1/29/2015,4,3610.153548,4843.198303
1/29/2015,5,4115.971444,4846.864356
1/29/2015,6,4112.883757,4847.355509
1/29/2015,7,4061.306953,4860.390736
1/29/2015,8,4124.205103,4872.597536
1/29/2015,9,15356.72952,4921.281782
1/29/2015,10,18976.38086,4979.294464
1/29/2015,11,17775.51839,5025.356187
1/29/2015,12,6668.476249,5021.104967
