Date,Interval,Effective GWAP,Rolling Average
5/26/2015,1,2972.811288,5133.102982
5/26/2015,2,2972.810667,5133.0519
5/26/2015,3,2231.165769,5128.611608
5/26/2015,4,2226.460805,5124.134254
5/26/2015,5,2179.986443,5119.418503
5/26/2015,6,1979.390548,5118.227667
5/26/2015,7,1580.815163,5114.673455
5/26/2015,8,2028.0478,5112.884741
5/26/2015,9,4293.836582,5102.605053
5/26/2015,10,13625.45754,5092.624667
5/26/2015,11,5919.210726,5033.763648
5/26/2015,12,12240.8289,5062.370551
5/26/2015,13,5779.432016,5004.467227
5/26/2015,14,13535.71323,5051.427177
5/26/2015,15,5625.532374,5053.369972
5/26/2015,16,6080.122552,4990.314367
5/26/2015,17,2033.918127,4972.175211
5/26/2015,18,2023.01202,4971.986152
5/26/2015,19,4564.713012,4969.832618
5/26/2015,20,4564.18518,4958.284199
5/26/2015,21,4665.863478,4941.56734
5/26/2015,22,14854.19689,4903.889739
5/26/2015,23,7354.23005,4844.020549
5/26/2015,24,7288.263436,4869.423413
5/27/2015,1,2230.673148,4864.907485
5/27/2015,2,2033.157538,4863.775988
5/27/2015,3,2021.538886,4862.597229
5/27/2015,4,2172.735642,4862.575513
5/27/2015,5,2021.505584,4861.652091
5/27/2015,6,1674.66202,4859.614994
5/27/2015,7,1615.943878,4857.156337
5/27/2015,8,2029.215575,4852.135018
5/27/2015,9,2254.729844,4817.73691
5/27/2015,10,11100.35,4840.821831
5/27/2015,11,15094.05169,4835.363286
5/27/2015,12,7027.516644,4847.069607
5/27/2015,13,5298.083854,4836.342393
5/27/2015,14,15898.61747,4837.215755
5/27/2015,15,15213.02637,4829.795392
5/27/2015,16,15210.07716,4848.764276
5/27/2015,17,3694.980114,4848.23008
5/27/2015,18,2066.952146,4850.461693
5/27/2015,19,2999.198432,4844.755279
5/27/2015,20,3197.693906,4837.919337
5/27/2015,21,2065.424282,4824.919564
5/27/2015,22,2026.004816,4801.544509
5/27/2015,23,2073.373901,4800.995195
5/27/2015,24,2176.446568,4796.234045
