Date,Interval,Effective GWAP,Rolling Average
10/26/2015,1,1207.944475,2034.744456
10/26/2015,2,1208.735422,2044.40584
10/26/2015,3,319.4875622,2048.736881
10/26/2015,4,182.6346139,2052.259681
10/26/2015,5,1204.814856,2059.436092
10/26/2015,6,1136.439537,2068.558742
10/26/2015,7,181.4073962,2072.05796
10/26/2015,8,1294.574063,2072.50497
10/26/2015,9,1464.03572,2070.904941
10/26/2015,10,1530.356576,2067.641296
10/26/2015,11,5129.831031,2086.937983
10/26/2015,12,4451.539257,2106.837932
10/26/2015,13,5148.376629,2129.940674
10/26/2015,14,16788,2216.879068
10/26/2015,15,9772.372167,2261.822343
10/26/2015,16,7864.125376,2297.09992
10/26/2015,17,1527.162056,2297.909054
10/26/2015,18,5177.238401,2308.598084
10/26/2015,19,5111.961142,2321.587229
10/26/2015,20,1692.194883,2322.652073
10/26/2015,21,1515.456777,2324.610976
10/26/2015,22,1708.354528,2328.716383
10/26/2015,23,1450.982988,2330.867903
10/26/2015,24,1451.945518,2332.979493
10/27/2015,1,1498.942905,2340.982702
10/27/2015,2,1454.872516,2348.576868
10/27/2015,3,1453.574767,2356.311315
10/27/2015,4,1452.577267,2364.039752
10/27/2015,5,1609.881973,2367.368729
10/27/2015,6,1508.413975,2369.73323
10/27/2015,7,1303.231367,2371.48039
10/27/2015,8,1462.92584,2374.180421
10/27/2015,9,1337.716888,2374.893159
10/27/2015,10,2078.988305,2379.804104
10/27/2015,11,4415.530858,2396.174222
10/27/2015,12,4270.542362,2413.928539
10/27/2015,13,4286.558063,2428.06325
10/27/2015,14,5482.646204,2453.02001
10/27/2015,15,5144.407292,2474.410726
10/27/2015,16,5085.651493,2492.119634
10/27/2015,17,1533.04881,2492.362409
10/27/2015,18,2199.070834,2486.340995
10/27/2015,19,3454.489508,2494.543628
10/27/2015,20,1794.280107,2493.414489
10/27/2015,21,1670.304718,2492.915863
10/27/2015,22,1709.720423,2496.756222
10/27/2015,23,1457.200733,2499.463415
10/27/2015,24,1457.111492,2501.432132
10/28/2015,1,1460.537,2501.481898
10/28/2015,2,1459.150744,2502.122022
10/28/2015,3,1457.339641,2502.364935
10/28/2015,4,1456.561579,2502.616321
