Date,Interval,Effective GWAP,Rolling Average
2/26/2016,1,1443.706732,2495.843852
2/26/2016,2,1446.898974,2489.606299
2/26/2016,3,1445.721566,2483.274912
2/26/2016,4,1446.790711,2475.357228
2/26/2016,5,1448.137251,2469.620889
2/26/2016,6,1315.291053,2458.697793
2/26/2016,7,978.3642212,2449.63041
2/26/2016,8,1289.349389,2446.702401
2/26/2016,9,1480.305794,2433.83675
2/26/2016,10,1676.165971,2421.926941
2/26/2016,11,1604.159452,2402.136298
2/26/2016,12,1573.012532,2389.598702
2/26/2016,13,1476.374004,2375.167642
2/26/2016,14,1803.039746,2333.035543
2/26/2016,15,1601.063594,2307.557397
2/26/2016,16,1478.800731,2279.652053
2/26/2016,17,1476.327702,2266.962766
2/26/2016,18,1476.034268,2254.154286
2/26/2016,19,1877.529749,2237.984069
2/26/2016,20,1476.392185,2224.929098
2/26/2016,21,1477.882238,2210.784696
2/26/2016,22,1480.094594,2205.531329
2/26/2016,23,1445.804281,2203.576679
2/26/2016,24,1443.148693,2202.261551
2/27/2016,1,1659.173373,2199.961658
2/27/2016,2,1485.027902,2199.598712
2/27/2016,3,1454.174124,2198.701831
2/27/2016,4,1490.469577,2198.351619
2/27/2016,5,1450.246269,2192.756564
2/27/2016,6,1315.019745,2190.628989
2/27/2016,7,1075.173998,2189.098733
2/27/2016,8,1189.029586,2188.478466
2/27/2016,9,1319.97965,2187.688869
2/27/2016,10,1479.971434,2186.98636
2/27/2016,11,1481.799181,2181.954797
2/27/2016,12,1481.872637,2180.816836
2/27/2016,13,1482.81279,2179.680808
2/27/2016,14,1560.754963,2176.234119
2/27/2016,15,1482.209475,2175.085401
2/27/2016,16,1479.379042,2175.076719
2/27/2016,17,1322.071951,2174.304787
2/27/2016,18,1459.016531,2174.18372
2/27/2016,19,1774.987833,2174.771972
2/27/2016,20,1479.531071,2173.6534
2/27/2016,21,1479.537761,2172.546888
2/27/2016,22,1551.961653,2171.862967
2/27/2016,23,1476.927463,2171.184433
2/27/2016,24,1589.525114,2172.06592
2/28/2016,1,1635.141356,2173.186207
2/28/2016,2,1654.310852,2174.428588
2/28/2016,3,1633.266673,2175.565976
2/28/2016,4,2030.980486,2179.070484
2/28/2016,5,1447.679747,2178.472562
2/28/2016,6,2264.711653,2183.354185
2/28/2016,7,1543.800255,2183.959879
2/28/2016,8,1886.999759,2186.751841
2/28/2016,9,1381.581571,2186.861591
2/28/2016,10,1536.04647,2186.589424
2/28/2016,11,1991.105409,2189.979014
2/28/2016,12,1822.833106,2192.23711
2/28/2016,13,1925.888841,2195.108416
2/28/2016,14,1817.11214,2197.354001
2/28/2016,15,1626.505183,2197.780302
2/28/2016,16,1444.07358,2197.817037
2/28/2016,17,1786.461981,2199.889516
2/28/2016,18,1688.136763,2199.98315
2/28/2016,19,4265.717456,2206.743702
2/28/2016,20,4403.743026,2221.283632
2/28/2016,21,4273.241291,2236.767272
2/28/2016,22,6649.844872,2266.866786
2/28/2016,23,2789.773419,2274.812152
2/28/2016,24,1938.071897,2277.758433
2/29/2016,1,2242.939133,2282.463571
2/29/2016,2,2183.466262,2286.837362
2/29/2016,3,1393.812706,2287.035311
2/29/2016,4,2231.23613,2292.446157
2/29/2016,5,2243.380659,2297.161528
2/29/2016,6,2250.115229,2301.324752
2/29/2016,7,1252.293329,2301.340814
2/29/2016,8,1291.13809,2301.172401
2/29/2016,9,2195.546791,2305.423038
2/29/2016,10,4276.681732,2316.411646
2/29/2016,11,5860.37195,2327.681553
2/29/2016,12,4503.654045,2332.870685
2/29/2016,13,3611.613239,2332.718091
2/29/2016,14,5007.491141,2300.391183
2/29/2016,15,3612.349152,2271.517629
2/29/2016,16,3557.621144,2256.124224
2/29/2016,17,1566.87191,2243.764243
2/29/2016,18,1561.889385,2231.366704
2/29/2016,19,3600.756822,2223.437769
2/29/2016,20,1648.301822,2204.031991
2/29/2016,21,3257.953077,2193.643551
2/29/2016,22,1579.099578,2181.293419
2/29/2016,23,1436.80182,2177.396081
2/29/2016,24,1439.749229,2171.698442
