Date,Interval,Effective GWAP,Rolling Average
8/26/2016,1,1962.263093,2298.952323
8/26/2016,2,1857.939914,2298.852304
8/26/2016,3,1608.820504,2298.26641
8/26/2016,4,1610.330842,2298.065866
8/26/2016,5,1794.583208,2299.189171
8/26/2016,6,1608.580283,2300.098931
8/26/2016,7,1529.832381,2301.390045
8/26/2016,8,1606.478814,2301.624256
8/26/2016,9,2178.816576,2301.63857
8/26/2016,10,2217.237364,2301.825151
8/26/2016,11,3460.00466,2310.469218
8/26/2016,12,2090.220788,2309.892705
8/26/2016,13,2200.546327,2309.975049
8/26/2016,14,3832.725046,2319.843194
8/26/2016,15,3957.924536,2330.260042
8/26/2016,16,7477.587102,2361.486337
8/26/2016,17,3547.389295,2370.081812
8/26/2016,18,5036.946219,2387.271963
8/26/2016,19,6043.41949,2404.096107
8/26/2016,20,4642.193014,2417.900583
8/26/2016,21,6648.588913,2420.777938
8/26/2016,22,5100.638918,2431.46659
8/26/2016,23,3491.322086,2439.477021
8/26/2016,24,2198.771982,2440.326855
8/27/2016,1,2188.210815,2440.942351
8/27/2016,2,2189.528141,2441.73362
8/27/2016,3,2085.625176,2443.199542
8/27/2016,4,2087.632678,2444.649049
8/27/2016,5,2079.161521,2446.047617
8/27/2016,6,1737.405926,2446.825607
8/27/2016,7,1542.080424,2447.717709
8/27/2016,8,1306.007608,2447.277195
8/27/2016,9,1695.6161,2448.030964
8/27/2016,10,2162.33692,2450.66274
8/27/2016,11,2178.772414,2450.775308
8/27/2016,12,2161.668964,2453.638621
8/27/2016,13,2161.510133,2456.555293
8/27/2016,14,2178.581891,2459.496131
8/27/2016,15,2179.197915,2463.162258
8/27/2016,16,2180.364331,2466.601331
8/27/2016,17,2162.337736,2467.410445
8/27/2016,18,2097.241379,2467.656367
8/27/2016,19,3177.016931,2467.353434
8/27/2016,20,2139,2467.41834
8/27/2016,21,6164.563437,2491.835945
8/27/2016,22,3433.812487,2500.09995
8/27/2016,23,2183.522053,2503.315954
8/27/2016,24,2167.14108,2507.060889
8/28/2016,1,2167.944098,2510.660288
8/28/2016,2,1821.488873,2512.783028
8/28/2016,3,1520.67454,2513.115452
8/28/2016,4,1604.762351,2513.522506
8/28/2016,5,1558.746273,2513.664776
8/28/2016,6,1445.416554,2514.280392
8/28/2016,7,1443.018053,2515.614127
8/28/2016,8,1439.681625,2516.703108
8/28/2016,9,1554.873667,2518.302334
8/28/2016,10,1596.321726,2518.697788
8/28/2016,11,2121.33514,2521.996413
8/28/2016,12,1718.964509,2522.993665
8/28/2016,13,1603.076895,2523.209539
8/28/2016,14,1600.146323,2523.523176
8/28/2016,15,1602.629677,2523.679085
8/28/2016,16,1606.82749,2523.318543
8/28/2016,17,1608.986538,2523.078357
8/28/2016,18,3275.864482,2529.762684
8/28/2016,19,5945.116993,2534.08254
8/28/2016,20,3563.690075,2535.791114
8/28/2016,21,3538.052248,2537.697875
8/28/2016,22,2136.605542,2538.853466
8/28/2016,23,2012.700124,2541.273988
8/28/2016,24,1605.40596,2541.673603
8/29/2016,1,1602.063689,2542.478158
8/29/2016,2,1519.563195,2542.811707
8/29/2016,3,1452.305936,2542.777189
8/29/2016,4,1597.811469,2544.272349
8/29/2016,5,1519.692185,2544.313727
8/29/2016,6,1445.939049,2544.211096
8/29/2016,7,1201.57491,2543.507543
8/29/2016,8,1434.09003,2542.976666
8/29/2016,9,1441.062217,2538.606283
8/29/2016,10,1440.390384,2523.625239
8/29/2016,11,1448.567376,2511.478727
8/29/2016,12,1568.997783,2500.410766
8/29/2016,13,1511.157883,2496.244398
8/29/2016,14,1721.953441,2484.717338
8/29/2016,15,1597.784034,2472.452639
8/29/2016,16,1789.427635,2460.194665
8/29/2016,17,1586.662207,2449.900878
8/29/2016,18,3020.848087,2454.173273
8/29/2016,19,2180.040505,2447.751922
8/29/2016,20,3204.212785,2447.809016
8/29/2016,21,3294.970804,2446.998174
8/29/2016,22,2155.21535,2446.84935
8/29/2016,23,1909.3491,2445.945083
8/29/2016,24,1456.37168,2443.426441
8/30/2016,1,1525.087354,2441.424133
8/30/2016,2,1457.447888,2440.528732
8/30/2016,3,1455.597167,2439.776892
8/30/2016,4,1453.541264,2439.005759
8/30/2016,5,1604.880094,2437.723196
8/30/2016,6,1810.372379,2438.917485
8/30/2016,7,1472.805353,2440.13927
8/30/2016,8,1304.263099,2437.86916
8/30/2016,9,2160.72145,2437.761674
8/30/2016,10,2179.574334,2430.497259
8/30/2016,11,2171.060143,2422.88653
8/30/2016,12,2182.402182,2423.273898
8/30/2016,13,2201.283867,2424.006793
8/30/2016,14,3421.253237,2431.024204
8/30/2016,15,2380.601474,2432.330609
8/30/2016,16,2924.996469,2429.449103
8/30/2016,17,2293.208422,2430.243518
8/30/2016,18,3126.875163,2436.003508
8/30/2016,19,2335.005202,2436.94521
8/30/2016,20,2113.539811,2436.569099
8/30/2016,21,4653.987065,2443.749184
8/30/2016,22,4807.083358,2459.272008
8/30/2016,23,3271.29218,2466.878183
