Date,Interval,Effective GWAP,Rolling Average
4/26/2017,1,2521.124473,3586.404298
4/26/2017,2,2030.378748,3582.870664
4/26/2017,3,1992.440985,3579.370007
4/26/2017,4,1893.990715,3575.532385
4/26/2017,5,1891.209586,3572.293249
4/26/2017,6,1682.640492,3571.593188
4/26/2017,7,1676.580212,3570.30871
4/26/2017,8,1900.972615,3569.633535
4/26/2017,9,2591.844293,3568.3913
4/26/2017,10,2584.449397,3568.807685
4/26/2017,11,2629.574961,3567.784264
4/26/2017,12,2628.560929,3563.712644
4/26/2017,13,2632.896051,3559.344171
4/26/2017,14,3796.867794,3552.851332
4/26/2017,15,4290.779074,3548.868925
4/26/2017,16,4038.981858,3541.534424
4/26/2017,17,2652.535135,3536.198752
4/26/2017,18,2542.491377,3519.920016
4/26/2017,19,2665.888093,3501.308219
4/26/2017,20,2569.958164,3480.107614
4/26/2017,21,4333.223012,3469.311746
4/26/2017,22,3699.02996,3459.041917
4/26/2017,23,2661.036,3455.084139
4/26/2017,24,2573.409629,3452.877885
4/27/2017,1,2533.863853,3451.432262
4/27/2017,2,2537.332408,3450.547244
4/27/2017,3,2537.938665,3450.049196
4/27/2017,4,2537.995151,3451.172162
4/27/2017,5,2534.682257,3450.313059
4/27/2017,6,1896.20905,3447.913129
4/27/2017,7,1647.806494,3445.508227
4/27/2017,8,1995.979179,3440.369732
4/27/2017,9,2672.129031,3432.558286
4/27/2017,10,2640.81297,3424.825315
4/27/2017,11,4677.424424,3420.442594
4/27/2017,12,2645.960424,3403.049102
4/27/2017,13,4308.445693,3394.802923
4/27/2017,14,4693.876217,3386.786109
4/27/2017,15,4874.599324,3380.460067
4/27/2017,16,4788.304573,3375.371068
4/27/2017,17,2643.942699,3357.32844
4/27/2017,18,2640.96811,3342.286965
4/27/2017,19,4399.607343,3337.057561
4/27/2017,20,4302.014701,3332.404281
4/27/2017,21,6136.413475,3332.609813
4/27/2017,22,4486.135592,3325.180915
4/27/2017,23,2654.811313,3321.513643
4/27/2017,24,2573.484962,3319.581579
4/28/2017,1,2630.960325,3318.759572
4/28/2017,2,2536.381179,3316.927324
4/28/2017,3,2104.439442,3313.016393
4/28/2017,4,1962.138559,3308.515341
4/28/2017,5,1904.754239,3303.643636
4/28/2017,6,1668.376566,3297.642904
4/28/2017,7,1650.254463,3293.706933
4/28/2017,8,1885.622035,3291.444455
4/28/2017,9,2104.685125,3274.722407
4/28/2017,10,2067.810028,3264.792728
4/28/2017,11,2641.402663,3249.432518
4/28/2017,12,2403.260511,3232.618695
4/28/2017,13,2125.165027,3212.874259
4/28/2017,14,2646.890858,3189.785723
4/28/2017,15,2608.584794,3165.487706
4/28/2017,16,2637.417461,3142.694666
4/28/2017,17,2107.601899,3093.521904
4/28/2017,18,2106.039205,3064.099888
4/28/2017,19,2647.031831,3012.247669
4/28/2017,20,2636.471362,2984.832413
4/28/2017,21,4358.541435,2952.713751
4/28/2017,22,4126.23501,2920.786147
4/28/2017,23,2635.389973,2886.187999
4/28/2017,24,2639.893089,2869.72466
4/29/2017,1,2518.059395,2868.783991
4/29/2017,2,2352.237805,2867.392331
4/29/2017,3,2064.567385,2864.300154
4/29/2017,4,2114.588236,2862.340603
4/29/2017,5,2040.889428,2860.017417
4/29/2017,6,1974.415524,2859.828073
4/29/2017,7,1895.319298,2859.201613
4/29/2017,8,1927.408683,2857.966797
4/29/2017,9,2199.636872,2851.194951
4/29/2017,10,1979.302068,2842.357585
4/29/2017,11,2664.754809,2833.844823
4/29/2017,12,2640.253877,2837.322674
4/29/2017,13,2639.783389,2836.596912
4/29/2017,14,4306.287978,2835.074595
4/29/2017,15,2642.591148,2823.650229
4/29/2017,16,2678.511759,2812.320602
4/29/2017,17,1996.327223,2808.417226
4/29/2017,18,1928.816439,2797.714522
4/29/2017,19,2167.375977,2782.309823
4/29/2017,20,2529.499673,2771.24947
4/29/2017,21,2616.200418,2738.323049
4/29/2017,22,2624.103987,2706.291409
4/29/2017,23,2616.264003,2692.726664
4/29/2017,24,2517.414447,2681.639475
4/30/2017,1,2254.97891,2673.517181
4/30/2017,2,2525.701074,2667.225634
4/30/2017,3,1976.82823,2663.28125
4/30/2017,4,2404.782219,2662.307642
4/30/2017,5,2431.748836,2661.659506
4/30/2017,6,2079.457093,2659.565171
4/30/2017,7,1902.199924,2660.572907
4/30/2017,8,1697.546376,2661.028798
4/30/2017,9,1778.617521,2658.736828
4/30/2017,10,2381.251393,2660.482334
4/30/2017,11,2438.460796,2665.031221
4/30/2017,12,2628.480442,2670.02326
4/30/2017,13,2627.765207,2673.122363
4/30/2017,14,2633.075974,2675.674446
4/30/2017,15,2671.83359,2678.395881
4/30/2017,16,2712.883635,2680.51736
4/30/2017,17,2632.539777,2682.067201
4/30/2017,18,2618.744994,2681.845656
4/30/2017,19,5803.350983,2686.267625
4/30/2017,20,5397.379312,2690.927948
4/30/2017,21,5388.55881,2692.767473
4/30/2017,22,4598.362459,2693.124059
4/30/2017,23,2817.115933,2694.003125
4/30/2017,24,2633.643427,2693.95087
5/1/2017,1,2615.980828,2694.140042
5/1/2017,2,2581.407588,2694.703327
5/1/2017,3,2421.358982,2697.759909
5/1/2017,4,2417.098075,2702.210411
5/1/2017,5,2416.61962,2707.314749
5/1/2017,6,2078.665665,2709.907802
5/1/2017,7,2071.493202,2712.432355
5/1/2017,8,1521.51541,2710.263014
5/1/2017,9,1967.28651,2710.058464
5/1/2017,10,2264.924476,2711.18132
5/1/2017,11,2087.906655,2707.958011
5/1/2017,12,2485.345783,2707.354046
5/1/2017,13,2379.189847,2705.876604
5/1/2017,14,2684.832958,2696.302056
5/1/2017,15,2688.249402,2686.645043
5/1/2017,16,2712.137155,2678.210301
5/1/2017,17,2700.104594,2679.139325
5/1/2017,18,2678.240969,2682.039779
5/1/2017,19,4573.969508,2694.140866
5/1/2017,20,4760.470836,2707.416225
5/1/2017,21,4593.596436,2718.994312
5/1/2017,22,4456.863781,2730.397468
5/1/2017,23,2676.65434,2731.970337
5/1/2017,24,2646.010392,2735.700583
5/2/2017,1,2677.01118,2736.62297
5/2/2017,2,2654.129975,2739.875241
5/2/2017,3,2645.551927,2744.219302
5/2/2017,4,2553.512974,2747.868485
5/2/2017,5,2521.287689,2751.496782
5/2/2017,6,2085.918484,2752.410767
5/2/2017,7,1878.077084,2752.405226
5/2/2017,8,2084.905917,2753.478975
5/2/2017,9,2944.816775,2757.90117
5/2/2017,10,4581.219327,2769.781232
5/2/2017,11,5569.637648,2787.288427
5/2/2017,12,4805.070833,2800.250749
5/2/2017,13,8024.052413,2832.365206
5/2/2017,14,11130.99974,2873.056286
5/2/2017,15,10753.65592,2911.502719
5/2/2017,16,21348.77808,3014.492637
5/2/2017,17,4566.934091,3025.914529
5/2/2017,18,4497.344281,3037.539623
5/2/2017,19,7772.984506,3067.976051
5/2/2017,20,5625.102955,3086.26074
5/2/2017,21,9775.303438,3118.733255
5/2/2017,22,9650.236307,3160.880832
5/2/2017,23,5510.774545,3177.912876
5/2/2017,24,3810.459288,3186.277105
5/3/2017,1,2626.609407,3186.904992
5/3/2017,2,2535.60754,3189.912306
5/3/2017,3,2522.512789,3193.067495
5/3/2017,4,2257.394175,3195.230611
5/3/2017,5,2531.811489,3199.043718
5/3/2017,6,2533.265806,3204.106963
5/3/2017,7,2542.581823,3209.261735
5/3/2017,8,2527.700759,3212.99226
5/3/2017,9,2676.810138,3213.498009
5/3/2017,10,4385.410625,3224.218016
5/3/2017,11,4847.367717,3237.419163
5/3/2017,12,4693.218746,3249.708793
5/3/2017,13,4697.36416,3261.997294
5/3/2017,14,5357.371365,3271.286006
5/3/2017,15,4967.328555,3275.313086
5/3/2017,16,4577.629234,3278.51932
5/3/2017,17,4179.081605,3287.605906
5/3/2017,18,2606.318603,3287.98583
5/3/2017,19,4579.481693,3299.376268
5/3/2017,20,4181.148386,3308.966686
5/3/2017,21,4165.480773,3307.968221
5/3/2017,22,4866.669143,3314.918454
5/3/2017,23,2617.495643,3314.659285
5/3/2017,24,2524.476566,3314.368017
5/4/2017,1,2515.026713,3314.255891
5/4/2017,2,1984.275233,3310.963884
5/4/2017,3,1923.129975,3307.304309
5/4/2017,4,1910.072594,3303.566674
5/4/2017,5,1891.176644,3299.736284
5/4/2017,6,1893.877775,3299.722407
5/4/2017,7,1892.239194,3301.177364
5/4/2017,8,2086.826116,3301.718119
5/4/2017,9,2638.572475,3301.518378
5/4/2017,10,4308.880355,3311.44735
5/4/2017,11,4725.364256,3311.732706
5/4/2017,12,3867.742357,3319.005218
5/4/2017,13,3868.766729,3316.388081
5/4/2017,14,5061.110804,3318.574001
5/4/2017,15,4808.010402,3318.177639
5/4/2017,16,4857.238351,3318.587959
5/4/2017,17,2635.126618,3318.535482
5/4/2017,18,2631.036228,3318.476364
5/4/2017,19,4542.004242,3319.323965
5/4/2017,20,3806.190504,3316.37263
5/4/2017,21,2644.287315,3295.586165
5/4/2017,22,4539.893038,3295.90615
5/4/2017,23,2635.804174,3295.793012
5/4/2017,24,2528.698263,3295.526424
5/5/2017,1,2522.667753,3294.881826
5/5/2017,2,2051.624881,3291.996372
5/5/2017,3,1784.609171,3290.09262
5/5/2017,4,1777.233498,3288.991995
5/5/2017,5,1911.25186,3289.030671
5/5/2017,6,1689.374011,3289.155656
5/5/2017,7,1905.820956,3290.676885
5/5/2017,8,2085.692157,3291.867778
5/5/2017,9,2524.955497,3294.369388
5/5/2017,10,2647.576191,3297.820377
5/5/2017,11,2660.829259,3297.936011
5/5/2017,12,2644.14709,3299.36986
5/5/2017,13,2641.536836,3302.443502
5/5/2017,14,4204.078068,3311.712473
5/5/2017,15,2661.735334,3312.028845
5/5/2017,16,2658.951617,3312.157025
5/5/2017,17,2528.700425,3314.663564
5/5/2017,18,2524.418566,3317.153917
5/5/2017,19,2917.830891,3318.765816
5/5/2017,20,2656.20498,3318.883278
5/5/2017,21,2652.863016,3308.730431
5/5/2017,22,3755.669576,3306.524684
5/5/2017,23,2649.217254,3306.606989
5/5/2017,24,2633.942765,3306.571571
5/6/2017,1,2630.408056,3307.240313
5/6/2017,2,2488.054037,3308.048743
5/6/2017,3,2481.264752,3310.529084
5/6/2017,4,2152.422794,3310.75429
5/6/2017,5,2018.416344,3310.620521
5/6/2017,6,1740.012158,3309.225263
5/6/2017,7,1650.26997,3307.766636
5/6/2017,8,1973.20348,3308.039224
5/6/2017,9,2480.800282,3309.712816
5/6/2017,10,2637.14418,3313.628543
5/6/2017,11,2832.228356,3314.625409
5/6/2017,12,2726.666845,3315.139772
5/6/2017,13,2635.000665,3315.111304
