Date,Interval,Effective GWAP,Rolling Average
3/26/2018,1,2406.820749,2850.12774
3/26/2018,2,2404.504958,2845.194574
3/26/2018,3,2328.825834,2839.969683
3/26/2018,4,2150.27035,2833.186836
3/26/2018,5,2326.657645,2827.739669
3/26/2018,6,2418.987054,2823.044917
3/26/2018,7,1931.313612,2818.069958
3/26/2018,8,2550.648737,2815.941518
3/26/2018,9,2566.603283,2811.317586
3/26/2018,10,2496.743221,2806.486899
3/26/2018,11,2973.503799,2796.827534
3/26/2018,12,2700.071395,2794.101356
3/26/2018,13,2503.444725,2789.482655
3/26/2018,14,3035.25622,2770.023114
3/26/2018,15,2980.080809,2750.152595
3/26/2018,16,2984.084599,2727.867428
3/26/2018,17,2507.660332,2723.516131
3/26/2018,18,2497.850055,2719.263176
3/26/2018,19,2935.60484,2718.459714
3/26/2018,20,2795.473496,2716.565698
3/26/2018,21,2897.322849,2715.599063
3/26/2018,22,2437.2861,2711.036752
3/26/2018,23,2533.621583,2707.949079
3/26/2018,24,2531.584464,2705.601593
3/27/2018,1,2468.887655,2702.309836
3/27/2018,2,2491.488613,2700.667788
3/27/2018,3,2477.492532,2699.442502
3/27/2018,4,2500.992333,2698.366383
3/27/2018,5,2544.542618,2695.545809
3/27/2018,6,2855.846153,2694.599561
3/27/2018,7,2244.390158,2693.321617
3/27/2018,8,2574.684678,2693.332116
3/27/2018,9,2983.237672,2693.232678
3/27/2018,10,2998.929326,2693.615374
3/27/2018,11,3067.735134,2694.003803
3/27/2018,12,2583.086906,2690.375931
3/27/2018,13,2997.256511,2690.211089
3/27/2018,14,2917.336291,2689.02701
3/27/2018,15,2606.62095,2685.081579
3/27/2018,16,2994.449146,2685.166577
3/27/2018,17,2851.909756,2684.094676
3/27/2018,18,2847.475818,2683.489935
3/27/2018,19,2984.110338,2683.29773
3/27/2018,20,2891.643602,2682.540324
3/27/2018,21,2916.080468,2681.989722
3/27/2018,22,2853.341521,2685.394659
3/27/2018,23,2907.811796,2688.561763
3/27/2018,24,2988.360436,2692.383365
3/28/2018,1,2858.707449,2695.15821
3/28/2018,2,2544.372896,2695.35221
3/28/2018,3,2544.749077,2695.803818
3/28/2018,4,2544.47676,2696.049006
3/28/2018,5,2650.283192,2696.763057
3/28/2018,6,2861.366705,2698.353822
3/28/2018,7,2388.150569,2697.447798
3/28/2018,8,2492.767143,2696.928462
3/28/2018,9,3036.942427,2697.460703
3/28/2018,10,2992.839791,2697.816151
3/28/2018,11,3059.570565,2698.173581
3/28/2018,12,2974.180158,2698.370012
3/28/2018,13,2533.438966,2695.53829
3/28/2018,14,2971.411952,2695.11009
3/28/2018,15,2517.692901,2690.898193
3/28/2018,16,2932.876808,2689.8097
3/28/2018,17,2383.425693,2688.661966
3/28/2018,18,2448.675221,2688.119491
3/28/2018,19,2989.15977,2688.623312
3/28/2018,20,2975.395859,2692.53757
3/28/2018,21,2960.224245,2696.299778
3/28/2018,22,2856.316757,2699.625087
3/28/2018,23,2856.195303,2702.410487
3/28/2018,24,3008.524734,2705.405403
3/29/2018,1,2862.616204,2707.381384
3/29/2018,2,2545.091105,2707.428361
3/29/2018,3,2540.042864,2707.443616
3/29/2018,4,2536.194211,2707.415051
3/29/2018,5,2491.921051,2707.437705
3/29/2018,6,2281.078451,2707.242058
3/29/2018,7,2446.48874,2706.695953
3/29/2018,8,2284.413887,2704.811574
3/29/2018,9,2525.756365,2704.070151
3/29/2018,10,2468.99275,2703.103503
3/29/2018,11,2498.449388,2701.046421
3/29/2018,12,2494.599657,2700.801394
3/29/2018,13,2492.683397,2698.701649
3/29/2018,14,2601.255666,2695.705325
3/29/2018,15,2444.130437,2693.155841
3/29/2018,16,2387.034258,2690.423854
3/29/2018,17,2253.277014,2688.263449
3/29/2018,18,2528.103913,2686.840248
3/29/2018,19,3055.159038,2687.751142
3/29/2018,20,2991.4907,2687.774625
3/29/2018,21,2538.83029,2684.018657
3/29/2018,22,2539.121093,2680.824548
3/29/2018,23,2540.84845,2680.839364
3/29/2018,24,2533.543666,2680.825614
3/30/2018,1,2376.548242,2679.492542
3/30/2018,2,2471.40006,2678.894233
3/30/2018,3,2367.872549,2677.871676
3/30/2018,4,2279.214593,2676.174589
3/30/2018,5,2220.640865,2674.189975
3/30/2018,6,2360.516835,2674.469827
3/30/2018,7,2260.328741,2672.080025
3/30/2018,8,2221.51483,2669.212829
3/30/2018,9,2065.19032,2664.207274
3/30/2018,10,2026.513309,2659.264569
3/30/2018,11,2120.899181,2654.537878
3/30/2018,12,2039.726443,2646.665207
3/30/2018,13,2115.10086,2639.43212
3/30/2018,14,2498.407576,2635.433052
3/30/2018,15,2472.070394,2632.985602
3/30/2018,16,2507.749769,2628.762533
3/30/2018,17,2480.11063,2623.733104
3/30/2018,18,2532.7519,2621.010201
3/30/2018,19,2949.92955,2620.83119
3/30/2018,20,2537.628924,2617.198734
3/30/2018,21,2545.210878,2613.574423
3/30/2018,22,2594.258496,2610.313402
3/30/2018,23,2542.1508,2606.674074
3/30/2018,24,2492.522114,2606.525471
3/31/2018,1,2352.274306,2606.070917
3/31/2018,2,2211.925719,2604.46609
3/31/2018,3,2217.195288,2603.535836
3/31/2018,4,2216.601884,2604.088598
3/31/2018,5,2082.219633,2602.051615
3/31/2018,6,2080.363693,2599.229754
3/31/2018,7,2079.514623,2600.464762
3/31/2018,8,2218.138798,2597.693846
3/31/2018,9,2354.941741,2595.93
3/31/2018,10,839.7326461,2582.121578
3/31/2018,11,2309.912012,2576.591647
3/31/2018,12,2298.009777,2573.241133
3/31/2018,13,2304.180418,2571.580597
3/31/2018,14,2213.634918,2564.733753
3/31/2018,15,2209.844461,2558.315117
3/31/2018,16,2214.53805,2551.902229
3/31/2018,17,2213.505019,2549.450935
3/31/2018,18,2475.955685,2549.268482
3/31/2018,19,2934.447258,2549.258835
3/31/2018,20,2524.123455,2546.997585
3/31/2018,21,2568.716994,2544.259203
3/31/2018,22,2545.26636,2545.159038
3/31/2018,23,2527.804826,2545.110565
3/31/2018,24,2531.129197,2545.106771
04/01/2018,1,2561.420031,2545.877874
04/01/2018,2,2492.575635,2545.886933
04/01/2018,3,2491.830613,2546.006417
04/01/2018,4,2502.958362,2546.022801
04/01/2018,5,2503.302621,2545.679134
04/01/2018,6,2403.849084,2541.912492
04/01/2018,7,2528.26959,2544.278154
04/01/2018,8,2481.466812,2543.501338
04/01/2018,9,2867.755358,2542.538985
04/01/2018,10,2822.641351,2541.069919
04/01/2018,11,3130.084639,2541.589498
04/01/2018,12,3126.059485,2546.11427
04/01/2018,13,3126.830818,2547.194056
04/01/2018,14,3130.227386,2548.968148
04/01/2018,15,3159.855809,2553.578439
04/01/2018,16,3008.344045,2553.694229
04/01/2018,17,3001.401837,2554.939997
04/01/2018,18,2998.259041,2556.196524
04/01/2018,19,3316.798597,2558.968926
04/01/2018,20,3309.096744,2562.447702
04/01/2018,21,3200.469308,2564.817609
04/01/2018,22,3037.822774,2566.354953
04/01/2018,23,3006.231048,2567.175113
04/01/2018,24,3002.387227,2567.292003
04/02/2018,1,2954.125011,2568.087149
04/02/2018,2,2531.943152,2567.983568
04/02/2018,3,2484.888751,2567.484732
04/02/2018,4,2493.04485,2567.056133
04/02/2018,5,2496.26669,2565.772662
04/02/2018,6,2528.805149,2563.001316
04/02/2018,7,2403.868398,2563.132298
04/02/2018,8,2384.73203,2562.232005
04/02/2018,9,3054.365071,2562.377194
04/02/2018,10,3128.250873,2563.505619
04/02/2018,11,4693.784674,2577.12407
04/02/2018,12,3127.043767,2578.397934
04/02/2018,13,3128.627713,2583.35784
04/02/2018,14,5403.575883,2603.625873
04/02/2018,15,5091.708558,2625.076003
04/02/2018,16,4957.286068,2641.94608
04/02/2018,17,3027.698116,2647.315017
04/02/2018,18,3021.193695,2652.086005
04/02/2018,19,4860.742566,2667.682528
04/02/2018,20,3022.736871,2668.077036
04/02/2018,21,3021.93677,2668.591307
04/02/2018,22,2937.363607,2669.266698
04/02/2018,23,2935.899988,2669.930903
04/02/2018,24,3001.405981,2669.871581
04/03/2018,1,2989.179464,2670.926274
04/03/2018,2,2991.759815,2674.648514
04/03/2018,3,2674.177305,2675.766301
04/03/2018,4,2994.895813,2679.588814
04/03/2018,5,2997.991571,2683.806068
04/03/2018,6,3003.223215,2689.823941
04/03/2018,7,2674.669447,2691.725447
04/03/2018,8,3154.790303,2698.978584
04/03/2018,9,3155.368308,2704.22535
04/03/2018,10,5390.861867,2728.57426
04/03/2018,11,7788.51465,2772.658137
