Date,Interval,Effective GWAP,Rolling Average
6/26/2018,1,2559.774384,3592.669325
6/26/2018,2,2461.774249,3588.393348
6/26/2018,3,2490.479481,3584.758834
6/26/2018,4,2495.3498,3580.483087
6/26/2018,5,2493.631855,3574.326455
6/26/2018,6,2441.227737,3570.573373
6/26/2018,7,2106.413422,3563.087155
6/26/2018,8,2085.319516,3554.247078
6/26/2018,9,2463.831047,3490.791868
6/26/2018,10,2471.365928,3423.171981
6/26/2018,11,2480.217656,3357.840501
6/26/2018,12,2389.887881,3318.657567
6/26/2018,13,2162.499201,3282.106285
6/26/2018,14,2388.105596,3240.826472
6/26/2018,15,2395.986405,3201.831594
6/26/2018,16,2715.137113,3169.742263
6/26/2018,17,2538.147709,3154.708711
6/26/2018,18,2946.031105,3156.5541
6/26/2018,19,3032.714592,3143.467827
6/26/2018,20,3355.167198,3146.321998
6/26/2018,21,3024.818799,3144.741566
6/26/2018,22,2401.231,3144.092171
6/26/2018,23,2390.417806,3143.449601
6/26/2018,24,2481.678747,3142.720061
6/27/2018,1,3114.686337,3146.015694
6/27/2018,2,2685.401855,3146.990731
6/27/2018,3,2556.395995,3146.854988
6/27/2018,4,2503.187573,3143.628583
6/27/2018,5,2678.362094,3140.866312
6/27/2018,6,2561.073894,3138.15586
6/27/2018,7,2221.85247,3136.612399
6/27/2018,8,2382.317788,3136.447605
6/27/2018,9,3100.822689,3136.972076
6/27/2018,10,3199.986926,3142.2648
6/27/2018,11,4832.294315,3140.46457
6/27/2018,12,3201.982313,3143.029076
6/27/2018,13,3147.245262,3143.853951
6/27/2018,14,6650.567083,3144.27395
6/27/2018,15,6972.800856,3145.505521
6/27/2018,16,15039.99648,3212.903345
6/27/2018,17,6947.884193,3222.559666
6/27/2018,18,3439.130141,3210.941841
6/27/2018,19,4621.300475,3192.331034
6/27/2018,20,4526.479894,3203.9032
6/27/2018,21,5583.971344,3209.767852
6/27/2018,22,3041.28529,3208.801163
6/27/2018,23,3162.907522,3212.480285
6/27/2018,24,3222.820244,3214.289198
6/28/2018,1,3197.681125,3215.368582
6/28/2018,2,2973.353667,3215.103048
6/28/2018,3,2550.635247,3215.562759
6/28/2018,4,2971.81882,3219.762915
6/28/2018,5,3013.622479,3224.195361
6/28/2018,6,3013.231361,3228.578205
6/28/2018,7,2130.280332,3225.903249
6/28/2018,8,2476.976823,3227.818716
6/28/2018,9,3202.361982,3233.813876
6/28/2018,10,3299.068711,3235.408271
6/28/2018,11,15062.41987,3334.629233
6/28/2018,12,4678.003335,3350.752803
6/28/2018,13,4308.9975,3365.278301
6/28/2018,14,15078.04731,3465.507184
6/28/2018,15,11831.17313,3537.236254
6/28/2018,16,16728.96672,3650.316429
6/28/2018,17,16884.26303,3765.553532
6/28/2018,18,4459.460621,3782.048692
6/28/2018,19,13720.38565,3870.516225
6/28/2018,20,3421.358618,3874.022019
6/28/2018,21,4512.199623,3886.162177
6/28/2018,22,3209.069041,3887.856192
6/28/2018,23,3212.441079,3891.969976
6/28/2018,24,3456.010387,3895.143154
6/29/2018,1,3359.839745,3896.585249
6/29/2018,2,3307.595313,3898.534828
6/29/2018,3,3231.30722,3903.866163
6/29/2018,4,3219.676151,3906.57073
6/29/2018,5,3238.847458,3912.781483
6/29/2018,6,3235.014793,3917.13522
6/29/2018,7,3152.629791,3923.352341
6/29/2018,8,3202.821002,3930.050573
6/29/2018,9,10160.48946,3992.110403
6/29/2018,10,10219.94374,4054.564649
6/29/2018,11,10242.31573,4116.186025
6/29/2018,12,7250.502864,4153.795607
6/29/2018,13,7645.205083,4194.852395
6/29/2018,14,14488.99472,4289.910705
6/29/2018,15,11905.50275,4364.318943
6/29/2018,16,9806.823034,4422.554363
6/29/2018,17,6894.00876,4456.594074
6/29/2018,18,3230.769393,4454.923081
6/29/2018,19,4453.207668,4439.004545
6/29/2018,20,7260.186592,4449.288635
6/29/2018,21,16551.13071,4551.391766
6/29/2018,22,3207.328404,4549.53951
6/29/2018,23,3281.752308,4550.449361
6/29/2018,24,3232.065063,4552.598493
6/30/2018,1,3581.695662,4557.294593
6/30/2018,2,3366.235895,4562.801608
6/30/2018,3,3237.595525,4567.571265
6/30/2018,4,3223.443921,4572.961541
6/30/2018,5,3104.587641,4574.553141
6/30/2018,6,3095.665231,4578.88667
6/30/2018,7,2503.241736,4579.610744
6/30/2018,8,2488.237439,4580.287253
6/30/2018,9,3144.700138,4581.047851
6/30/2018,10,2764.474255,4577.804669
6/30/2018,11,3115.738937,4576.141793
6/30/2018,12,2487.151731,4570.176406
6/30/2018,13,2483.589011,4563.807746
6/30/2018,14,6784.346671,4570.540347
6/30/2018,15,6675.334323,4576.254943
6/30/2018,16,3869.76043,4558.514946
6/30/2018,17,2992.712494,4557.156361
6/30/2018,18,3094.846121,4557.51493
6/30/2018,19,7175.891462,4589.364714
6/30/2018,20,7619.426098,4627.385891
6/30/2018,21,8777.796799,4674.664565
6/30/2018,22,6066.12226,4704.470798
6/30/2018,23,3088.695538,4709.523617
6/30/2018,24,3141.357328,4710.153268
07/01/2018,1,3409.131439,4717.231243
07/01/2018,2,3316.383286,4724.352985
07/01/2018,3,3166.433801,4729.985938
07/01/2018,4,3126.71446,4735.24731
07/01/2018,5,3123.383921,4740.495244
07/01/2018,6,2500.706648,4740.990901
07/01/2018,7,2504.486023,4744.308173
07/01/2018,8,2455.313235,4747.391454
07/01/2018,9,2491.212685,4747.619634
07/01/2018,10,3208.028063,4753.758486
07/01/2018,11,3221.464693,4759.935544
07/01/2018,12,3196.454911,4766.656936
07/01/2018,13,3205.633617,4775.349723
07/01/2018,14,3205.53705,4782.161652
07/01/2018,15,3105.984693,4788.078304
07/01/2018,16,3112.756282,4791.391797
07/01/2018,17,3144.496478,4796.444704
07/01/2018,18,3132.050745,4797.994867
07/01/2018,19,6743.29952,4828.916408
07/01/2018,20,6724.109289,4856.990926
07/01/2018,21,6704.871812,4887.658034
07/01/2018,22,4543.805601,4905.512823
07/01/2018,23,3287.367143,4912.9874
07/01/2018,24,3197.932656,4918.956183
07/02/2018,1,3071.279205,4918.594457
07/02/2018,2,3012.045679,4921.316489
07/02/2018,3,2721.964335,4922.696225
07/02/2018,4,2954.970482,4926.461082
07/02/2018,5,3085.12078,4929.850738
