Date,Interval,Effective GWAP,Rolling Average
9/26/2018,1,3429.783108,2987.925102
9/26/2018,2,3418.381311,2993.130568
9/26/2018,3,3412.269496,2999.663965
9/26/2018,4,3274.423515,3005.188334
9/26/2018,5,3403.272721,3011.224566
9/26/2018,6,3415.505655,3016.487187
9/26/2018,7,2750.875873,3017.554318
9/26/2018,8,2845.133599,3019.486106
9/26/2018,9,2992.0207,3021.527287
9/26/2018,10,6509.086071,3051.526196
9/26/2018,11,7633.79033,3091.559391
9/26/2018,12,3182.539406,3095.441805
9/26/2018,13,3448.820508,3101.236738
9/26/2018,14,7417.009129,3138.106069
9/26/2018,15,3341.13492,3142.364687
9/26/2018,16,3088.232149,3145.095281
9/26/2018,17,2784.976647,3145.765525
9/26/2018,18,2932.747755,3147.006152
9/26/2018,19,4092.015129,3158.101676
9/26/2018,20,3168.578476,3162.326301
9/26/2018,21,3175.069269,3165.667652
9/26/2018,22,3169.708127,3169.78637
9/26/2018,23,2457.661356,3167.301765
9/26/2018,24,2869.275408,3167.896156
9/27/2018,1,2842.443287,3168.271581
9/27/2018,2,2830.446982,3168.787993
9/27/2018,3,2623.158644,3167.396724
9/27/2018,4,2374.361822,3164.838541
9/27/2018,5,2904.596354,3166.262962
9/27/2018,6,2828.238078,3168.030179
9/27/2018,7,2352.367606,3166.922161
9/27/2018,8,2331.869192,3170.781473
9/27/2018,9,2743.618422,3170.422977
9/27/2018,10,3086.563596,3172.044031
9/27/2018,11,3087.46053,3173.189924
9/27/2018,12,3086.479372,3175.28936
9/27/2018,13,3086.767042,3177.389803
9/27/2018,14,3165.232022,3179.459703
9/27/2018,15,3165.751445,3182.219683
9/27/2018,16,2998.283562,3184.131613
9/27/2018,17,2989.588121,3186.448573
9/27/2018,18,3085.995975,3189.391764
9/27/2018,19,3020.578666,3191.047722
9/27/2018,20,3091.265848,3193.802469
9/27/2018,21,3092.757214,3196.594062
9/27/2018,22,3003.086973,3198.042843
9/27/2018,23,2478.512012,3195.889058
9/27/2018,24,2917.80286,3196.651421
9/28/2018,1,3301.801672,3200.347617
9/28/2018,2,3290.105162,3205.01349
9/28/2018,3,2876.181378,3206.658667
9/28/2018,4,2662.326111,3207.163033
9/28/2018,5,2815.709916,3208.155621
9/28/2018,6,2816.306824,3215.912911
9/28/2018,7,2662.892209,3224.29268
9/28/2018,8,3086.419527,3234.599462
9/28/2018,9,3209.204442,3239.263867
9/28/2018,10,3087.268523,3240.353519
9/28/2018,11,3165.960974,3240.216836
9/28/2018,12,3086.551903,3241.21903
9/28/2018,13,3086.783056,3241.173057
9/28/2018,14,3959.844113,3250.566734
9/28/2018,15,6846.323348,3282.83702
9/28/2018,16,4032.565794,3291.290495
9/28/2018,17,3482.369516,3295.064266
9/28/2018,18,3580.991124,3299.751778
9/28/2018,19,3113.638132,3300.21122
9/28/2018,20,3001.406584,3293.215445
