Date,Interval,Effective GWAP,Rolling Average
12/26/2018,1,2153.153422,2033.433604
12/26/2018,2,0,2011.335645
12/26/2018,3,0,1991.400695
12/26/2018,4,0,1972.944554
12/26/2018,5,0,1953.895845
12/26/2018,6,1804.99335,1946.849373
12/26/2018,7,0,1926.117273
12/26/2018,8,1992.864111,1919.082949
12/26/2018,9,2169.420546,1916.63212
12/26/2018,10,2319.379361,1915.095032
12/26/2018,11,2522.964362,1912.070101
12/26/2018,12,2522.582614,1913.12339
12/26/2018,13,2522.770597,1913.960811
12/26/2018,14,3458.420019,1921.901278
12/26/2018,15,2977.134016,1922.656878
12/26/2018,16,2875.572266,1924.544614
12/26/2018,17,3474.47538,1932.67455
12/26/2018,18,4795.274877,1942.174691
12/26/2018,19,3799.301308,1949.862085
12/26/2018,20,5447.427921,1971.15476
12/26/2018,21,5198.711024,1990.335818
12/26/2018,22,3668.344637,1992.056273
12/26/2018,23,3184.513621,1994.353912
12/26/2018,24,2957.834804,1994.816635
12/27/2018,1,2974.377806,1995.56335
12/27/2018,2,2971.360731,1998.104256
12/27/2018,3,2875.354429,1999.93456
12/27/2018,4,2663.948698,2000.033057
12/27/2018,5,2666.687807,2000.063164
12/27/2018,6,2663.959798,2000.084479
12/27/2018,7,2107.234159,1999.536847
12/27/2018,8,2650.164261,2000.632733
12/27/2018,9,2411.306199,2002.522976
12/27/2018,10,2523.330509,2005.083222
12/27/2018,11,2888.850787,2009.086262
12/27/2018,12,2649.075932,2012.711395
12/27/2018,13,2519.260111,2015.186671
12/27/2018,14,3196.269255,2022.451764
12/27/2018,15,2952.262405,2028.630876
12/27/2018,16,3048.046947,2035.853892
12/27/2018,17,2951.955665,2042.366039
12/27/2018,18,4057.57395,2054.679364
12/27/2018,19,2977.489239,2058.396366
12/27/2018,20,2527.96,2059.426483
12/27/2018,21,2521.129071,2060.197325
12/27/2018,22,3625.724149,2065.883185
12/27/2018,23,2896.802039,2065.926802
12/27/2018,24,2684.284926,2066.042134
12/28/2018,1,2666.501078,2066.051668
12/28/2018,2,2518.303093,2064.899661
12/28/2018,3,2276.960286,2065.365246
12/28/2018,4,2120.000883,2064.75492
12/28/2018,5,2182.075214,2060.774047
12/28/2018,6,1990.847723,2055.19777
12/28/2018,7,735.5418755,2039.11356
12/28/2018,8,2884.064212,2040.885071
12/28/2018,9,2654.999984,2040.731312
12/28/2018,10,2508.243884,2036.939611
12/28/2018,11,2514.290448,2036.528957
12/28/2018,12,2504.713316,2038.900176
12/28/2018,13,2289.772234,2039.416203
12/28/2018,14,2403.999287,2040.92093
12/28/2018,15,2151.188107,2042.877831
12/28/2018,16,2149.140112,2042.779132
12/28/2018,17,2145.532872,2042.285348
12/28/2018,18,2761.063237,2035.492
12/28/2018,19,2419.665182,2035.475309
12/28/2018,20,2178.704981,2033.178001
12/28/2018,21,2137.954287,2022.778078
12/28/2018,22,2432.431076,2013.783937
12/28/2018,23,2282.084737,2004.235302
12/28/2018,24,1963.830007,2018.583269
12/29/2018,1,0,2005.692177
12/29/2018,2,0,2005.692177
12/29/2018,3,-0.01,2005.692094
12/29/2018,4,-0.01,2005.69201
12/29/2018,5,-0.01,2005.691927
12/29/2018,6,0,2005.691927
12/29/2018,7,0,2005.691927
12/29/2018,8,1015.521688,2014.154608
12/29/2018,9,1501.861275,2015.315002
12/29/2018,10,2138.533776,2022.951991
12/29/2018,11,1990.621775,2024.481331
12/29/2018,12,0,2024.481331
12/29/2018,13,0,2009.416681
12/29/2018,14,0,1997.932256
12/29/2018,15,0,1997.932256
12/29/2018,16,0,1993.220148
12/29/2018,17,0,1988.511448
12/29/2018,18,2422.291531,1987.321794
12/29/2018,19,3092.534771,1992.653617
12/29/2018,20,2278.637247,1993.527211
12/29/2018,21,2180.877215,1993.842588
12/29/2018,22,2411.670629,1997.374301
12/29/2018,23,2415.489741,2000.951374
12/29/2018,24,0,2000.951374
12/30/2018,1,0,1985.435866
12/30/2018,2,0,1985.435866
12/30/2018,3,0,1980.751032
12/30/2018,4,0,1976.082874
12/30/2018,5,0,1976.082874
12/30/2018,6,1779.491784,1990.911972
12/30/2018,7,1372.226722,2002.347195
12/30/2018,8,1363.876291,2013.712831
12/30/2018,9,1800.322764,2028.71552
12/30/2018,10,1963.991371,2045.082115
12/30/2018,11,2135.56705,2062.878507
12/30/2018,12,1912.660235,2070.301576
12/30/2018,13,1896.74944,2072.969771
12/30/2018,14,1363.202072,2068.658447
12/30/2018,15,0,2051.968372
12/30/2018,16,1875.50966,2051.470552
12/30/2018,17,2143.189862,2050.870876
12/30/2018,18,2538.643556,2041.338506
12/30/2018,19,2486.408196,2031.829707
12/30/2018,20,2486.594835,2021.555298
12/30/2018,21,2480.796412,2010.988709
12/30/2018,22,2280.109554,2009.089231
12/30/2018,23,2147.328566,2004.872327
12/30/2018,24,0,1984.967777
12/31/2018,1,0,1967.024832
12/31/2018,2,-9168.236002,1890.622865
12/31/2018,3,-9865.485965,1808.410482
12/31/2018,4,-10071.39176,1724.482217
12/31/2018,5,-9886.43121,1642.095291
12/31/2018,6,-996.1129998,1618.752738
12/31/2018,7,-0.995889667,1618.744439
12/31/2018,8,0,1602.137238
12/31/2018,9,0,1584.058733
12/31/2018,10,0,1564.730572
12/31/2018,11,984.3296202,1551.908616
12/31/2018,12,0,1530.887094
12/31/2018,13,0,1509.864006
12/31/2018,14,0,1481.043839
12/31/2018,15,0,1456.234389
12/31/2018,16,0,1432.271286
12/31/2018,17,974.9475087,1411.441888
12/31/2018,18,2467.108886,1392.040504
12/31/2018,19,2285.028045,1379.42156
12/31/2018,20,2126.401186,1351.746338
12/31/2018,21,1996.607254,1325.06214
12/31/2018,22,1871.349431,1310.087179
12/31/2018,23,174.2876706,1285.001963
12/31/2018,24,180.9781641,1261.861491
1/1/2019,1,0.982560496,1237.083198
1/1/2019,2,0,1212.321858
1/1/2019,3,-981.2839879,1180.183205
1/1/2019,4,-9778.913355,1076.492688
1/1/2019,5,-10220.64651,969.0982349
1/1/2019,6,-10221.48757,861.7195068
1/1/2019,7,-10159.79881,759.4942321
1/1/2019,8,-10064.3404,653.5400265
1/1/2019,9,-9911.670847,550.8485512
1/1/2019,10,-9871.9564,447.5544936
1/1/2019,11,-9493.924574,344.3646989
1/1/2019,12,-981.6455353,314.1086867
1/1/2019,13,0,293.1148524
1/1/2019,14,0,266.4792753
1/1/2019,15,0,241.8770886
1/1/2019,16,0,216.4766974
1/1/2019,17,0,191.8770668
1/1/2019,18,2646.729624,180.1200308
1/1/2019,19,2229.101709,173.883468
1/1/2019,20,2419.148958,172.9767093
1/1/2019,21,2420.995988,172.142267
1/1/2019,22,2185.771784,160.1426639
1/1/2019,23,738.1929363,142.1542548
1/1/2019,24,0.979626767,119.7933773
1/2/2019,1,0,97.57253494
1/2/2019,2,0,76.58667583
1/2/2019,3,0,57.61200678
1/2/2019,4,0,39.94533276
1/2/2019,5,0,21.76137264
1/2/2019,6,0,5.17097495
1/2/2019,7,1408.424898,10.77833347
1/2/2019,8,2191.72933,5.00887612
1/2/2019,9,2498.815058,3.70733507
1/2/2019,10,2439.955427,3.138264592
1/2/2019,11,2620.011467,4.019273084
1/2/2019,12,2502.489482,4.000741136
1/2/2019,13,2469.493532,5.498418622
1/2/2019,14,2620.898585,7.305912775
1/2/2019,15,2877.653043,13.35978724
1/2/2019,16,2945.786578,19.99850779
1/2/2019,17,2923.705434,26.48327913
1/2/2019,18,3585.407668,33.35281606
1/2/2019,19,3239.032278,40.18087519
1/2/2019,20,2953.022682,46.6335227
1/2/2019,21,2954.96565,53.44195072
1/2/2019,22,2914.750966,57.46128314
1/2/2019,23,2639.641159,60.44091998
1/2/2019,24,2479.747167,64.74022965
1/3/2019,1,2237.450761,83.38565266
1/3/2019,2,2192.353272,101.6552633
1/3/2019,3,2187.840564,119.8873513
1/3/2019,4,2027.059768,136.7795994
1/3/2019,5,2199.958517,155.1126703
1/3/2019,6,2613.975489,176.8957994
1/3/2019,7,2224.419366,195.4326275
1/3/2019,8,2876.750419,210.9428669
1/3/2019,9,2714.388143,221.0472575
1/3/2019,10,2918.842675,227.5498316
1/3/2019,11,3667.407521,241.5230462
1/3/2019,12,2951.708061,266.1206133
1/3/2019,13,2948.419888,290.6907791
1/3/2019,14,2953.320766,315.3017855
1/3/2019,15,2954.739545,339.924615
1/3/2019,16,3556.479881,369.5619473
1/3/2019,17,3032.806036,394.835331
1/3/2019,18,4917.639358,415.6298962
1/3/2019,19,3458.327399,418.6781681
1/3/2019,20,3049.207798,425.0995894
1/3/2019,21,2906.053711,431.1427268
1/3/2019,22,2969.687334,435.792866
1/3/2019,23,2628.694702,437.569574
1/3/2019,24,2616.806008,459.3762908
1/4/2019,1,2318.497899,478.6971066
1/4/2019,2,1899.188122,494.5236743
1/4/2019,3,2185.394326,512.7352937
1/4/2019,4,2009.838919,529.4839513
1/4/2019,5,2134.852624,547.2743899
1/4/2019,6,2209.225195,550.8555016
1/4/2019,7,0.986716458,539.4285016
1/4/2019,8,2420.444748,548.2332387
1/4/2019,9,2419.60296,553.393907
1/4/2019,10,2472.354499,557.6302664
1/4/2019,11,3231.157684,566.7601884
1/4/2019,12,2912.634484,575.0933071
1/4/2019,13,2480.686379,579.9594483
1/4/2019,14,3243.757965,595.6307474
1/4/2019,15,2944.96525,620.1721245
1/4/2019,16,3053.268887,629.9867847
1/4/2019,17,2965.879768,636.8425339
1/4/2019,18,4096.41886,649.8239948
1/4/2019,19,3411.822286,657.5357788
1/4/2019,20,2989.954956,661.7304465
1/4/2019,21,2901.151748,665.2334076
1/4/2019,22,3605.024434,676.274365
1/4/2019,23,2950.370629,682.9663822
1/4/2019,24,2957.515987,707.6123487
1/5/2019,1,2986.264611,732.4978872
1/5/2019,2,2897.383479,833.0447162
1/5/2019,3,2648.797104,937.3304084
1/5/2019,4,2648.153493,1043.326619
1/5/2019,5,2646.817106,1147.770355
1/5/2019,6,2642.950779,1178.095886
1/5/2019,7,1888.31263,1193.840124
1/5/2019,8,2660.296398,1216.009261
1/5/2019,9,2719.831768,1238.674525
1/5/2019,10,2955.559487,1263.304188
1/5/2019,11,3419.620482,1283.598278
1/5/2019,12,2965.866062,1308.313829
1/5/2019,13,2968.313494,1333.049775
1/5/2019,14,3223.56196,1359.912791
1/5/2019,15,3214.666202,1386.701676
1/5/2019,16,3453.588034,1415.481576
1/5/2019,17,3219.420044,1434.185514
1/5/2019,18,5338.771162,1458.116033
1/5/2019,19,4668.520322,1477.978469
1/5/2019,20,4670.855676,1499.182256
1/5/2019,21,3676.955511,1513.185158
1/5/2019,22,3709.237584,1528.500893
1/5/2019,23,3576.774727,1556.854952
1/5/2019,24,3461.397943,1584.191783
1/6/2019,1,3605.876301,1614.232564
1/6/2019,2,3419.545036,1642.728773
1/6/2019,3,2988.409828,1675.809555
1/6/2019,4,2988.905729,1782.208047
1/6/2019,5,2989.980487,1892.296605
1/6/2019,6,2991.353745,2002.403616
1/6/2019,7,2709.641459,2109.648952
1/6/2019,8,2954.157602,2218.136435
1/6/2019,9,3231.989637,2327.666939
1/6/2019,10,3470.081907,2438.850592
1/6/2019,11,3521.67057,2547.313885
1/6/2019,12,3591.793715,2585.425878
1/6/2019,13,3580.607845,2615.264277
1/6/2019,14,3593.178931,2645.207435
1/6/2019,15,3595.550699,2675.170357
1/6/2019,16,3586.604814,2705.058731
1/6/2019,17,3582.28692,2734.911122
1/6/2019,18,4134.663462,2747.31057
1/6/2019,19,3249.581188,2755.814566
1/6/2019,20,3695.761625,2766.453005
1/6/2019,21,3595.077509,2776.237018
1/6/2019,22,3601.678608,2788.036241
1/6/2019,23,2960.449843,2806.555049
1/6/2019,24,2711.368241,2829.141621
1/7/2019,1,2903.472202,2853.337222
1/7/2019,2,2204.018626,2871.704044
1/7/2019,3,2173.974172,2889.820496
1/7/2019,4,1013.343069,2898.265021
1/7/2019,5,2206.969351,2916.656432
1/7/2019,6,2636.023299,2938.623293
1/7/2019,7,1499.519414,2939.382414
1/7/2019,8,3609.473632,2951.19695
1/7/2019,9,3113.14713,2956.316384
1/7/2019,10,3122.834868,2962.007046
1/7/2019,11,3248.734418,2967.246404
1/7/2019,12,3227.532013,2973.288425
1/7/2019,13,3060.053935,2978.209762
1/7/2019,14,3256.717155,2983.50825
1/7/2019,15,3258.937811,2986.685623
1/7/2019,16,5003.526642,3003.833457
1/7/2019,17,3229.720446,3006.383582
1/7/2019,18,4289.722265,3012.25287
1/7/2019,19,3712.134138,3016.195386
1/7/2019,20,3733.514205,3022.699482
1/7/2019,21,6880.564398,3055.412805
1/7/2019,22,3762.864564,3062.480418
1/7/2019,23,3736.692387,3071.622511
1/7/2019,24,3321.730098,3078.639036
1/8/2019,1,3315.145607,3087.619826
1/8/2019,2,2990.116784,3094.267856
1/8/2019,3,2990.361603,3100.955531
1/8/2019,4,2991.085266,3108.989077
1/8/2019,5,2993.62595,3115.602972
1/8/2019,6,3228.657485,3120.725322
1/8/2019,7,3215.679357,3128.985822
1/8/2019,8,3631.46341,3135.275097
1/8/2019,9,3252.802853,3139.761886
1/8/2019,10,9751.150725,3196.697786
1/8/2019,11,19536.61256,3328.941162
1/8/2019,12,6673.959209,3359.959921
1/8/2019,13,4042.135094,3369.074215
1/8/2019,14,9255.308736,3421.590781
1/8/2019,15,7186.926214,3456.859003
1/8/2019,16,13158.89575,3536.879136
1/8/2019,17,3920.117731,3544.2734
1/8/2019,18,23337.42714,3697.771631
1/8/2019,19,5096.064519,3711.419441
1/8/2019,20,5074.222384,3728.294562
1/8/2019,21,3465.95022,3732.960366
