Date,Interval,Effective GWAP,Rolling Average
11/26/2020,1,1549.82021,1812.54
11/26/2020,2,1525.542078,1816.16
11/26/2020,3,1522.351416,1827.33
11/26/2020,4,1492.242409,1839.76
11/26/2020,5,1543.07998,1851.1
11/26/2020,6,1839.323952,1855.89
11/26/2020,7,1342.83,1854.99
11/26/2020,8,1528.24,1854.58
11/26/2020,9,1526.37,1854.48
11/26/2020,10,1811.59,1855.87
11/26/2020,11,1866.63,1857.73
11/26/2020,12,1541.22,1856.93
11/26/2020,13,1524.03,1855.96
11/26/2020,14,2277.2,1858.86
11/26/2020,15,7518.68,1907.61
11/26/2020,16,2291.41,1909.21
11/26/2020,17,1529.65,1904.58
11/26/2020,18,1676.71,1899.4
11/26/2020,19,1568.59,1895.13
11/26/2020,20,1566.05,1891.51
11/26/2020,21,2320.62,1889.45
11/26/2020,22,2163.5,1890.49
11/26/2020,23,1984.9,1888.59
11/26/2020,24,1548.99,1887.7
11/27/2020,1,1527.99,1886.61
11/27/2020,2,1529.03,1885.62
11/27/2020,3,1522.67,1884.67
11/27/2020,4,1392.05,1882.63
11/27/2020,5,1390.76,1880.44
11/27/2020,6,1544.36,1879.48
11/27/2020,7,1336.86,1876.91
11/27/2020,8,1526.72,1875.83
11/27/2020,9,1749.893216,1872.79
11/27/2020,10,1846.32,1868.43
11/27/2020,11,1936.69,1862.01
11/27/2020,12,1335.76,1854.65
11/27/2020,13,1334.81,1847.24
11/27/2020,14,1332.05,1835.73
11/27/2020,15,1313.32,1823.35
11/27/2020,16,1358.58,1809.18
11/27/2020,17,1366.16,1794.76
11/27/2020,18,2330.82,1785.74
11/27/2020,19,2260.4,1783.88
11/27/2020,20,1978.49,1781.38
11/27/2020,21,2313.96,1778.04
11/27/2020,22,2272.26,1773.58
11/27/2020,23,2290.55,1770.64
11/27/2020,24,2164.59,1770.19
11/28/2020,1,1982.42,1768.18
11/28/2020,2,1565.15,1764.36
11/28/2020,3,1531.6,1761.25
11/28/2020,4,1932.21,1758.88
11/28/2020,5,1886.84,1756.18
11/28/2020,6,1527.05,1750.71
11/28/2020,7,1215.4,1743.95
11/28/2020,8,1529.19,1738.18
11/28/2020,9,1520.85,1731.56
11/28/2020,10,1526.84,1724.91
11/28/2020,11,1379.1,1717.02
11/28/2020,12,1363.97,1714.05
11/28/2020,13,1270.14,1706.13
11/28/2020,14,1360.16,1698.18
11/28/2020,15,1360.95,1690.1
11/28/2020,16,1360.07,1682.87
11/28/2020,17,1272.38,1679.72
11/28/2020,18,2258.46,1675.21
11/28/2020,19,1890.18,1677.22
11/28/2020,20,1883.47,1679.25
11/28/2020,21,2329.11,1680.22
11/28/2020,22,2265.55,1679.7
11/28/2020,23,2007.42,1677.37
11/28/2020,24,1986.68,1674.9
11/29/2020,1,1531.97,1668.6
11/29/2020,2,1521.75,1666.91
11/29/2020,3,1525.62,1666
11/29/2020,4,1352.66,1664.41
11/29/2020,5,1338.04,1661.95
11/29/2020,6,1332.75,1662.63
11/29/2020,7,1143.32,1661.68
11/29/2020,8,1282.25,1661.1
11/29/2020,9,1286.04,1659.75
11/29/2020,10,1349.66,1657.37
11/29/2020,11,1344.93,1655.79
11/29/2020,12,1141.23,1652.54
11/29/2020,13,1240.12,1649.29
11/29/2020,14,1155.83,1645.31
11/29/2020,15,1157.02,1641.3
11/29/2020,16,1255.2,1640.65
11/29/2020,17,1224.53,1639.67
11/29/2020,18,1722.35,1634.05
11/29/2020,19,1526.99,1633
11/29/2020,20,1528.56,1631.93
11/29/2020,21,1530.25,1626.3
11/29/2020,22,1341.3,1622.22
11/29/2020,23,1238.63,1615.65
11/29/2020,24,1132.37,1609.92
11/30/2020,1,0,1596.3
11/30/2020,2,0,1582.69
11/30/2020,3,-1001.6,1560.74
11/30/2020,4,-1001.77,1541.69
11/30/2020,5,-4990.09,1489.45
11/30/2020,6,-4995.1,1437.74
11/30/2020,7,-8920.7,1353.85
11/30/2020,8,-0.98,1343.35
11/30/2020,9,2.01,1332.12
11/30/2020,10,1243.84,1328.9
11/30/2020,11,1330.73,1326.43
11/30/2020,12,1274.52,1326.38
11/30/2020,13,1247.62,1326.09
11/30/2020,14,1334.18,1326.47
11/30/2020,15,1272.59,1326.42
11/30/2020,16,1302.52,1326.15
11/30/2020,17,180.69,1314.15
11/30/2020,18,1542.51,1311.9
11/30/2020,19,1333.77,1309.4
11/30/2020,20,1335.19,1306.95
11/30/2020,21,1330.95,1306.57
11/30/2020,22,1262.54,1307.91
11/30/2020,23,0.98,1298.44
11/30/2020,24,992.84,1304.17
12/01/2020,1,0,1291.26
12/01/2020,2,0,1278.54
12/01/2020,3,0,1265.86
12/01/2020,4,0,1253.42
12/01/2020,5,-993.42,1232.28
12/01/2020,6,0,1216.96
12/01/2020,7,989.2177044,1214.01
12/01/2020,8,1269.27,1211.85
12/01/2020,9,1330.82,1210.22
12/01/2020,10,1328.67,1206.2
12/01/2020,11,1373.13,1202.08
12/01/2020,12,1332.96,1200.35
12/01/2020,13,1360.45,1198.99
12/01/2020,14,2017.81,1196.82
12/01/2020,15,1687.42,1148.23
12/01/2020,16,1686.63,1143.19
12/01/2020,17,1534.28,1143.23
12/01/2020,18,1887.34,1144.98
12/01/2020,19,1523.94,1144.61
12/01/2020,20,1517.02,1144.2
12/01/2020,21,2276.1,1143.83
12/01/2020,22,1526.93,1138.53
12/01/2020,23,1529.61,1134.73
12/01/2020,24,1524.06,1134.53
12/02/2020,1,1526.06,1134.51
12/02/2020,2,1527.29,1134.5
12/02/2020,3,1342.32,1132.99
12/02/2020,4,1338.92,1132.55
12/02/2020,5,1340.19,1132.13
12/02/2020,6,1525.67,1131.97
12/02/2020,7,1528.81,1133.57
12/02/2020,8,1527.18,1133.58
12/02/2020,9,1526.852,1131.72
12/02/2020,10,1375.186758,1127.79
12/02/2020,11,1828.576829,1126.89
12/02/2020,12,1380.25,1127.26
12/02/2020,13,1523.759657,1128.84
12/02/2020,14,2263.837378,1136.6
12/02/2020,15,2171.523093,1143.75
12/02/2020,16,2264.603238,1151.3
12/02/2020,17,1528.851837,1152.66
12/02/2020,18,2324.986116,1152.61
12/02/2020,19,2016,1150.57
12/02/2020,20,1543.173256,1146.95
12/02/2020,21,2316.856559,1146.97
12/02/2020,22,2270.169684,1146.95
12/02/2020,23,2075.842911,1145.16
12/02/2020,24,2027.25,1144.02
12/03/2020,1,1536.880682,1140.31
12/03/2020,2,1533.99,1140.05
12/03/2020,3,1535.03,1140.07
12/03/2020,4,1531.692627,1136.74
12/03/2020,5,1531.386339,1133.77
12/03/2020,6,1537.031729,1133.86
12/03/2020,7,1533.439967,1136.51
12/03/2020,8,1531.22876,1136.53
12/03/2020,9,2032.562062,1140.79
12/03/2020,10,1995.393878,1144.69
12/03/2020,11,2329.778583,1152.62
12/03/2020,12,2000.750734,1157.92
12/03/2020,13,2176.77,1165.48
12/03/2020,14,2371.21,1173.9
12/03/2020,15,2273.71,1181.51
12/03/2020,16,2275.41,1189.14
12/03/2020,17,1531.13,1191.29
12/03/2020,18,2326.17,1191.86
12/03/2020,19,1786.07,1190.99
12/03/2020,20,1562.96,1188.32
12/03/2020,21,2367.13,1188.64
12/03/2020,22,2279.14,1188.75
12/03/2020,23,2267.01,1190.91
12/03/2020,24,2266.62,1193.25
12/04/2020,1,2111.07,1198.07
12/04/2020,2,1988.15,1201.96
12/04/2020,3,1816.862799,1204.39
12/04/2020,4,1587.948184,1206.35
12/04/2020,5,1588.051434,1208.43
12/04/2020,6,2005.627984,1214.04
12/04/2020,7,1709.753605,1218.76
12/04/2020,8,1679.82,1222.07
12/04/2020,9,1924.27,1227.39
12/04/2020,10,1379.01,1227.63
12/04/2020,11,1832.82,1231.7
12/04/2020,12,1380.48,1233.69
12/04/2020,13,1381.48,1234.87
12/04/2020,14,2028.93,1242.15
12/04/2020,15,2171.92,1250.6
12/04/2020,16,2572.73,1261.58
12/04/2020,17,2267.88,1270.28
12/04/2020,18,4115.87,1290.22
12/04/2020,19,2257.4,1296.31
12/04/2020,20,2251.7,1302.34
12/04/2020,21,2383.62,1309.45
12/04/2020,22,2280.79,1317.28
12/04/2020,23,2276.79,1325.93
12/04/2020,24,2024.2,1333.36
12/05/2020,1,1583.05,1346.55
12/05/2020,2,1581.35,1359.73
12/05/2020,3,1582.32,1381.26
12/05/2020,4,1523.82,1402.31
12/05/2020,5,1588.4,1457.13
12/05/2020,6,1584.34,1511.96
12/05/2020,7,1345.65,1597.51
12/05/2020,8,1314.84,1608.48
12/05/2020,9,1576.28,1621.6
12/05/2020,10,1809.64,1626.31
12/05/2020,11,1701.86,1629.4
12/05/2020,12,1580.32,1631.95
12/05/2020,13,1577.37,1634.7
12/05/2020,14,2005.92,1640.3
12/05/2020,15,1581.87,1642.88
12/05/2020,16,1374.61,1643.48
12/05/2020,17,1347.18,1653.2
12/05/2020,18,2375.71,1660.14
12/05/2020,19,2265.24,1667.9
12/05/2020,20,2224.15,1675.31
12/05/2020,21,2297.99,1683.37
12/05/2020,22,2096.62,1690.32
12/05/2020,23,1826.21,1705.53
12/05/2020,24,1586.62,1710.48
12/06/2020,1,1582.49,1723.67
12/06/2020,2,1585.2,1736.88
12/06/2020,3,1762.2,1751.56
12/06/2020,4,1582.65,1764.75
12/06/2020,5,1882.87,1788.72
12/06/2020,6,1584.87,1801.93
12/06/2020,7,1526.57,1806.4
12/06/2020,8,1585.74,1809.04
12/06/2020,9,1591.49,1811.21
12/06/2020,10,1590.4,1813.39
12/06/2020,11,1843.38,1817.31
12/06/2020,12,1974.97,1822.66
12/06/2020,13,2037.61,1828.31
12/06/2020,14,1998.69,1828.15
12/06/2020,15,1960.14,1830.42
12/06/2020,16,2073.61,1833.64
12/06/2020,17,2267.37,1839.75
12/06/2020,18,2388.02,1843.93
12/06/2020,19,2376.45,1851.03
12/06/2020,20,2303.59,1857.59
12/06/2020,21,2381.15,1858.46
12/06/2020,22,2294.07,1864.85
12/06/2020,23,2271.25,1871.03
12/06/2020,24,2158.45,1876.32
12/07/2020,1,2015.7,1880.4
12/07/2020,2,1883.59,1883.37
12/07/2020,3,1698.83,1886.34
12/07/2020,4,1702.48,1889.37
12/07/2020,5,1743.03,1892.73
12/07/2020,6,2016.63,1896.82
12/07/2020,7,1813.3,1899.19
12/07/2020,8,2257.19,1905.27
12/07/2020,9,1974.17,1909
12/07/2020,10,2253.36,1916.32
