Date,Interval,Effective GWAP,Rolling Average
1/9/2015,1,1822.5060780000001,10.84825046
1/9/2015,2,1752.3972600000002,21.27918654
1/9/2015,3,1539.37958,30.44216023
1/9/2015,4,1815.911913,41.25115971
1/9/2015,5,2884.785234,58.42250039
1/9/2015,6,3032.877533,76.47534285
1/9/2015,7,1251.669036,83.92575378
1/9/2015,8,1695.0492579999998,94.0153327
1/9/2015,9,2125.6214379999997,106.66784129999999
1/9/2015,10,1782.165943,117.2759719
1/9/2015,11,1908.1441350000002,128.6339727
1/9/2015,12,1685.9688670000003,138.6695017
1/9/2015,13,1708.056134,148.8365025
1/9/2015,14,1751.719184,159.2634024
1/9/2015,15,1742.6000370000002,169.6360216
1/9/2015,16,1912.6996120000001,181.0211384
1/9/2015,17,1777.331277,191.60049119999996
1/9/2015,18,4062.484536,215.78194680000004
1/9/2015,19,3283.256525,235.3251404
1/9/2015,20,1776.9195690000001,245.9020426
1/9/2015,21,3100.0,264.3544235
1/9/2015,22,1922.0196010000002,275.7950164
1/9/2015,23,1561.511368,285.08972689999996
1/9/2015,24,1687.740532,295.1358015
1/10/2015,1,1540.501681,304.3054544
1/10/2015,2,1530.143494,313.4134514
1/10/2015,3,1669.392019,323.3503086
1/10/2015,4,1676.381797,333.32877169999995
1/10/2015,5,1862.623859,344.4158185
1/10/2015,6,1585.21413,353.85161689999995
1/10/2015,7,1302.3467,361.6036806
1/10/2015,8,1441.557429,370.1843795
1/10/2015,9,2836.474122,387.0681541
1/10/2015,10,3773.3568149999996,409.52861129999997
1/10/2015,11,3565.440455,430.7514712
1/10/2015,12,2948.3571460000003,448.30121610000003
1/10/2015,13,1653.666807,458.1444709
1/10/2015,14,1865.210773,469.246916
1/10/2015,15,1486.0078039999999,478.0922005
1/10/2015,16,1603.985482,487.6397331
1/10/2015,17,2775.136399,504.1584022
1/10/2015,18,2300.924172,517.8543794
1/10/2015,19,1703.019364,527.9913994
1/10/2015,20,2098.910053,540.4849116
1/10/2015,21,1925.866327,551.9484017000001
1/10/2015,22,1920.835657,563.3819473
1/10/2015,23,1697.4323769999999,573.4857114
1/10/2015,24,1477.830605,582.2823222
1/11/2015,1,1542.757314,591.4654013999999
1/11/2015,2,1540.838435,600.6370588
1/11/2015,3,1467.541162,609.3724227999999
1/11/2015,4,1116.814767,616.0201298
1/11/2015,5,1114.9742609999998,622.6568812999999
1/11/2015,6,486.0725421,625.5501703
1/11/2015,7,487.14933550000006,628.4498687000001
1/11/2015,8,1126.878376,635.1574781
1/11/2015,9,1100.714043,641.7093474
1/11/2015,10,1553.9288880000001,650.9589241
1/11/2015,11,1695.3300100000001,661.0501741
1/11/2015,12,1555.868382,670.3112955
1/11/2015,13,1278.121016,677.9191587
1/11/2015,14,1399.379817,686.2488003999999
1/11/2015,15,1551.832285,695.4858974
1/11/2015,16,1554.6200609999999,704.7395882000001
1/11/2015,17,1695.08927,714.8294053
1/11/2015,18,3300.12884,734.4730293
1/11/2015,19,3100.0,752.9254103
1/11/2015,20,1927.078018,764.3961128
1/11/2015,21,1563.04046,773.699925
1/11/2015,22,1555.263355,782.957445
1/11/2015,23,1104.5426730000001,789.5321038
1/11/2015,24,1392.643654,797.8216493
1/12/2015,1,1307.940228,805.6070078
1/12/2015,2,1349.432995,813.6393471
1/12/2015,3,1309.931378,821.4365577000001
1/12/2015,4,1293.8490140000001,829.1380399
1/12/2015,5,1637.287305,838.8837976
1/12/2015,6,1645.361908,848.6776185000001
1/12/2015,7,1474.267519,857.4530204
1/12/2015,8,1855.149519,868.4955771
1/12/2015,9,3387.837976,888.6612792999999
1/12/2015,10,2524.701348,903.6892634999999
1/12/2015,11,1865.772719,914.7950535
1/12/2015,12,1709.941489,924.9732767
1/12/2015,13,1668.412988,934.9043063999999
1/12/2015,14,2686.197759,950.8935787
1/12/2015,15,2191.385311,963.9375389
1/12/2015,16,2131.1902489999998,976.6231951999999
1/12/2015,17,1783.8672559999998,987.2414527000001
1/12/2015,18,3433.29102,1007.6777089999999
1/12/2015,19,3170.9684429999998,1026.552521
1/12/2015,20,2929.395652,1043.9894
1/12/2015,21,3100.0,1062.441781
1/12/2015,22,3100.0,1080.8941619999998
1/12/2015,23,1689.648316,1090.951592
1/12/2015,24,1529.8050560000001,1100.057575
1/13/2015,1,1546.769752,1109.264537
1/13/2015,2,1468.757932,1118.007144
1/13/2015,3,1876.819847,1129.178691
1/13/2015,4,1849.1017010000003,1140.185249
1/13/2015,5,1666.483774,1150.104795
1/13/2015,6,1460.681608,1158.7993279999998
1/13/2015,7,1549.685183,1168.023645
1/13/2015,8,1913.713146,1179.414794
1/13/2015,9,3381.213054,1199.5410630000001
1/13/2015,10,4049.947969,1223.6478960000002
1/13/2015,11,3839.462126,1246.501837
1/13/2015,12,2153.819871,1259.322193
1/13/2015,13,2145.835693,1272.095025
