Date,Interval,Effective GWAP,Rolling Average
12/26/2016,1,1325.1062689999999,1403.822138
12/26/2016,2,-477.501167,1400.979869
12/26/2016,3,-894.799992,1395.653679
12/26/2016,4,-1588.309284,1386.199457
12/26/2016,5,-1602.66052,1376.659811
12/26/2016,6,-1614.45053,1367.049986
12/26/2016,7,-751.5081369,1362.576724
12/26/2016,8,-337.40608530000003,1351.777755
12/26/2016,9,-627.3953374,1338.865719
12/26/2016,10,-365.21536180000004,1327.6879099999999
12/26/2016,11,2534.2806579999997,1333.433135
12/26/2016,12,3.381107001,1324.240651
12/26/2016,13,1760.414226,1325.5524289999998
12/26/2016,14,1949.3450719999998,1326.837959
12/26/2016,15,1541.659473,1325.900363
12/26/2016,16,1624.670294,1323.5295130000002
12/26/2016,17,1872.5014850000002,1324.5234039999998
12/26/2016,18,3367.2797960000003,1330.12914
12/26/2016,19,3989.453367,1342.2614740000001
12/26/2016,20,3988.661813,1355.8517570000001
12/26/2016,21,3134.864009,1362.466003
12/26/2016,22,2027.7866329999997,1362.495398
12/26/2016,23,2021.6418260000003,1364.532227
12/26/2016,24,1956.906282,1366.360592
12/27/2016,1,1658.565689,1367.406519
12/27/2016,2,1468.640823,1366.6871390000001
12/27/2016,3,1393.1019789999998,1365.519784
12/27/2016,4,1539.449366,1367.4597039999999
12/27/2016,5,1610.185492,1368.987357
12/27/2016,6,1647.591202,1369.0291869999999
12/27/2016,7,1344.413708,1371.0121609999999
12/27/2016,8,794.950739,1367.160551
12/27/2016,9,2046.035604,1368.525724
12/27/2016,10,3179.783259,1376.7347539999998
12/27/2016,11,5668.300277,1399.6641220000001
12/27/2016,12,2917.601252,1406.264248
12/27/2016,13,2095.9292170000003,1407.969094
12/27/2016,14,3092.6718579999997,1414.4658769999999
12/27/2016,15,3075.020102,1420.796437
12/27/2016,16,3112.549777,1427.3452519999998
12/27/2016,17,2329.607856,1429.285077
12/27/2016,18,4325.231691,1441.128889
12/27/2016,19,3759.344929,1451.532656
12/27/2016,20,4070.7597579999997,1463.598891
12/27/2016,21,4280.559411,1476.9000529999998
12/27/2016,22,6206.295057,1502.113746
12/27/2016,23,2849.307686,1507.103445
12/27/2016,24,2035.1328039999999,1508.122529
12/28/2016,1,1706.4631600000002,1508.376736
12/28/2016,2,25.23980256,1498.6681119999998
12/28/2016,3,-132.4388807,1488.166365
12/28/2016,4,17.23691205,1478.577167
12/28/2016,5,126.1142828,1469.5645960000002
12/28/2016,6,112.4767482,1460.304119
12/28/2016,7,-128.71843049999998,1449.744628
12/28/2016,8,-0.85753772,1439.60887
12/28/2016,9,2071.6323239999997,1441.473078
12/28/2016,10,2115.390339,1443.357589
12/28/2016,11,2977.020773,1449.159309
12/28/2016,12,2090.157053,1449.6819039999998
12/28/2016,13,2094.2307920000003,1450.3622480000001
12/28/2016,14,3041.105794,1456.485769
12/28/2016,15,2585.585548,1460.171858
12/28/2016,16,2982.1053030000003,1465.690131
12/28/2016,17,2122.373086,1464.701339
12/28/2016,18,3704.761218,1472.245402
12/28/2016,19,2329.429129,1473.904858
12/28/2016,20,2525.315328,1476.466672
12/28/2016,21,2535.604927,1477.0852009999999
12/28/2016,22,2520.169098,1478.487672
12/28/2016,23,2255.265786,1479.731607
12/28/2016,24,1964.4500480000002,1481.528899
12/29/2016,1,1930.016769,1483.004954
12/29/2016,2,1740.8543739999998,1483.519266
12/29/2016,3,1653.529076,1483.533307
12/29/2016,4,1711.7591510000002,1484.448472
12/29/2016,5,1662.858565,1484.3854609999999
12/29/2016,6,1893.9997079999998,1485.827792
12/29/2016,7,1290.247737,1484.708537
12/29/2016,8,1305.838066,1482.613748
12/29/2016,9,1833.303193,1482.607134
12/29/2016,10,1777.33127,1482.369597
12/29/2016,11,1874.3252949999999,1481.3671
12/29/2016,12,2116.632346,1483.016835
12/29/2016,13,2160.267651,1484.3413449999998
12/29/2016,14,2240.28613,1483.493883
12/29/2016,15,2244.48622,1484.626212
12/29/2016,16,2369.033191,1486.477405
12/29/2016,17,1961.97448,1486.479093
12/29/2016,18,2416.566819,1485.927862
12/29/2016,19,2385.239941,1486.529459
12/29/2016,20,2005.7826309999998,1484.866793
12/29/2016,21,2390.630186,1484.637508
12/29/2016,22,2309.846294,1486.108919
12/29/2016,23,1872.509653,1487.1558009999999
12/29/2016,24,1454.620537,1485.801031
12/30/2016,1,2193.621918,1489.025629
12/30/2016,2,1817.792412,1490.745306
12/30/2016,3,1402.989055,1490.0861300000001
12/30/2016,4,1434.703319,1490.823623
12/30/2016,5,1401.523764,1490.064439
12/30/2016,6,1403.886517,1489.6950470000002
12/30/2016,7,1316.413436,1497.530841
12/30/2016,8,1405.346792,1504.755524
12/30/2016,9,1615.323242,1503.963083
12/30/2016,10,1660.158266,1504.037748
12/30/2016,11,1951.531621,1505.401412
12/30/2016,12,1625.585902,1505.28164
12/30/2016,13,1695.424493,1505.5680869999999
12/30/2016,14,1953.559341,1506.939811
12/30/2016,15,1665.936076,1507.0027630000002
12/30/2016,16,1885.0587850000002,1508.724472
12/30/2016,17,1868.376919,1510.7266619999998
12/30/2016,18,2442.727079,1514.453432
12/30/2016,19,2386.4180109999998,1518.8174490000001
12/30/2016,20,2383.993401,1523.52061
12/30/2016,21,2393.204248,1528.261013
12/30/2016,22,1942.2525309999999,1530.338281
12/30/2016,23,1706.6341300000001,1531.424827
12/30/2016,24,1587.100646,1533.996069
12/31/2016,1,1677.936764,1534.189254
12/31/2016,2,1305.790084,1536.034981
12/31/2016,3,1294.112773,1539.1756300000002
12/31/2016,4,1287.134835,1546.837147
12/31/2016,5,1173.717999,1549.350185
12/31/2016,6,1291.9747830000001,1557.040511
12/31/2016,7,1287.3814869999999,1564.703496
12/31/2016,8,1138.731105,1571.482982
12/31/2016,9,1348.670057,1575.03013
12/31/2016,10,1360.966597,1577.245203
12/31/2016,11,1363.77979,1580.126496
12/31/2016,12,1355.437372,1582.362076
