Effective GWAP,Rolling Average,month,weekday,hour
1822.506078,10.84825046,1,4,0
1752.3972600000004,21.27918654,1,4,1
1539.37958,30.44216023,1,4,2
1815.911913,41.25115971,1,4,3
2884.785234,58.42250039,1,4,4
3032.877533,76.47534285,1,4,5
1251.669036,83.92575378,1,4,6
1695.0492579999998,94.0153327,1,4,7
2125.621438,106.6678413,1,4,8
1782.165943,117.2759719,1,4,9
1908.144135,128.6339727,1,4,10
1685.9688670000005,138.6695017,1,4,11
1708.056134,148.8365025,1,4,12
1751.719184,159.2634024,1,4,13
1742.6000370000004,169.6360216,1,4,14
1912.699612,181.0211384,1,4,15
1777.331277,191.6004912,1,4,16
4062.484536,215.78194680000004,1,4,17
3283.256525,235.3251404,1,4,18
1776.919569,245.9020426,1,4,19
3100.0,264.3544235,1,4,20
1922.019601,275.7950164,1,4,21
1561.511368,285.0897269,1,4,22
1687.740532,295.1358015,1,4,23
1540.501681,304.3054544,1,5,0
1530.143494,313.4134514,1,5,1
1669.392019,323.3503086,1,5,2
1676.381797,333.32877169999995,1,5,3
1862.623859,344.4158185,1,5,4
1585.21413,353.8516168999999,1,5,5
1302.3467,361.6036806,1,5,6
1441.557429,370.1843795,1,5,7
2836.474122,387.0681541,1,5,8
3773.356815,409.5286113,1,5,9
3565.440455,430.7514712,1,5,10
2948.3571460000007,448.3012161,1,5,11
1653.666807,458.1444709,1,5,12
1865.210773,469.246916,1,5,13
1486.007804,478.0922005,1,5,14
1603.985482,487.6397331,1,5,15
2775.136399,504.1584022,1,5,16
2300.924172,517.8543794,1,5,17
1703.019364,527.9913994,1,5,18
2098.910053,540.4849116,1,5,19
1925.866327,551.9484017000002,1,5,20
1920.835657,563.3819473,1,5,21
1697.432377,573.4857114,1,5,22
1477.830605,582.2823222,1,5,23
1542.757314,591.4654013999998,1,6,0
1540.838435,600.6370588,1,6,1
1467.541162,609.3724227999999,1,6,2
1116.814767,616.0201298,1,6,3
1114.9742609999996,622.6568812999999,1,6,4
486.0725421,625.5501703,1,6,5
487.14933550000006,628.4498687000001,1,6,6
1126.878376,635.1574781,1,6,7
1100.714043,641.7093474,1,6,8
1553.928888,650.9589241,1,6,9
1695.33001,661.0501741,1,6,10
1555.868382,670.3112955,1,6,11
1278.121016,677.9191587,1,6,12
1399.379817,686.2488003999998,1,6,13
1551.832285,695.4858974,1,6,14
1554.620061,704.7395882000002,1,6,15
1695.08927,714.8294053,1,6,16
3300.12884,734.4730293,1,6,17
3100.0,752.9254103,1,6,18
1927.078018,764.3961128,1,6,19
1563.04046,773.699925,1,6,20
1555.263355,782.957445,1,6,21
1104.542673,789.5321038,1,6,22
1392.643654,797.8216493,1,6,23
1307.940228,805.6070078,1,0,0
1349.432995,813.6393471,1,0,1
1309.931378,821.4365577000002,1,0,2
1293.849014,829.1380399,1,0,3
1637.287305,838.8837976,1,0,4
1645.361908,848.6776185000001,1,0,5
1474.267519,857.4530204,1,0,6
